#Firmware: Speeduino 2023.05
PriLevel,SecLevel,ThirdLevel,Trigger,Sync,Cycle,RefTime,ToothTime,Time
Flag,Flag,Flag,Flag,Flag,Flag,ms,ms,ms
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
0.0,0.0,0.0,0.0,0.0,0.0,15794.176,3.08,15794.176
MARK 001
1.0,0.0,0.0,0.0,0.0,0.0,15847.572,53.396,15847.572
0.0,0.0,0.0,0.0,0.0,0.0,15850.312,2.74,15850.312
1.0,0.0,0.0,0.0,0.0,0.0,15854.196,3.884,15854.196
0.0,0.0,0.0,0.0,0.0,0.0,15856.956,2.76,15856.956
1.0,0.0,0.0,0.0,0.0,0.0,15860.968,4.012,15860.968
0.0,0.0,0.0,0.0,0.0,0.0,15863.764,2.796,15863.764
1.0,0.0,0.0,0.0,0.0,0.0,15867.912,4.148,15867.912
0.0,0.0,0.0,0.0,0.0,0.0,15870.768,2.856,15870.768
1.0,0.0,0.0,0.0,0.0,0.0,15875.212,4.444,15875.212
0.0,0.0,0.0,0.0,0.0,0.0,15878.18,2.968,15878.18
1.0,0.0,0.0,0.0,0.0,0.0,15882.924,4.744,15882.924
0.0,0.0,0.0,0.0,0.0,0.0,15886.956,4.032,15886.956
1.0,0.0,0.0,0.0,0.0,0.0,15912.812,25.856,15912.812
0.0,0.0,0.0,0.0,0.0,0.0,15916.032,3.22,15916.032
1.0,0.0,0.0,0.0,0.0,0.0,15993.1,77.068,15993.1
0.0,0.0,0.0,0.0,0.0,0.0,15997.74,4.64,15997.74
1.0,0.0,0.0,0.0,0.0,0.0,16007.304,9.564,16007.304
0.0,0.0,0.0,0.0,0.0,0.0,16010.536,3.232,16010.536
1.0,0.0,0.0,0.0,0.0,0.0,16018.792,8.256,16018.792
0.0,0.0,0.0,0.0,0.0,0.0,16022.096,3.304,16022.096
1.0,0.0,0.0,0.0,0.0,0.0,16030.808,8.712,16030.808
0.0,0.0,0.0,0.0,0.0,0.0,16034.104,3.296,16034.104
1.0,0.0,0.0,0.0,0.0,0.0,16044.232,10.128,16044.232
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,16047.184,2.952,16047.184
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16047.184,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16047.184,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16047.184,0.0
